序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备注
,自耦,GAK-65,,,,,3,0.13,250,750,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,3,0.13,450,1350,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,3,0.13,150,450,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-3ACL-7.5,,,,,1,0.13,3700,3700,申宝,"一控三，自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
,,,,,,,,0.13,,,申宝,"不含浮球，断路器：施耐德，接触器，
继电器：正泰；三个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
26,潜水排污泵,65WQ36-35-7.5,36,30,,7.5,3,0.13,2900,8700,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-65,,,,,3,0.13,250,750,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,3,0.13,450,1350,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,3,0.13,150,450,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-3ACL-7.5,,,,,1,0.13,3700,3700,申宝,"一控三，自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；三个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
27,潜水排污泵,50WQ15-30-4,10,30,,4,2,0.13,1650,3300,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-50,,,,,2,0.13,200,400,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,2,0.13,450,900,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,2,0.13,150,300,申宝,增加一米，价格加602025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-3,,,,,1,0.13,1250,1250,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
,,,,,,,,0.13,,,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,浮球开关,控制线5米,,,,,223,0.13,80,17840,申宝,增加一米，价格加5；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
