序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备注
,自耦,GAK(II)-50,,,,,4,0.13,340,1360,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,浮球开关,,,,,,4,0.13,80,320,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,导杆,DN32×3.5,,,,,4,0.13,165,660,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,吊链,6×18,,,,,4,0.13,60,240,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
16,集水井潜水排污泵,50WQE20-15-1.5,20,15,,1.5,2,0.13,1220,2440,上海连城,10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,控制柜,LEC-2ACS-1.5/B（主要元器件：正泰）,,,,,1,0.13,1405,1405,上海连城,一用一备；超高液位报警、二泵同时启动2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
,自耦,GAK(II)-50,,,,,2,0.13,340,680,上海连城,2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
17,浮球开关,,,,,,2,0.13,80,160,上海连城,配10米电缆线2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
18,导杆,DN32×3.5,,,,,2,0.13,165,330,上海连城,3米镀锌导杆2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
19,吊链,6×18,,,,,2,0.13,60,120,上海连城,3.5米铁链一根2025.3.4，无预付款，货到现场验收合格后1月支付至到货金额的95%，（其中50%以半年期商业承兑汇票形式支付，50%以现金电汇形式支付），货物全送现场后，供方开具总到货金额的5%的两年银行质量保函，买方支付至结算金额的100%
