序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
143,"FDS
70°防火阀",FDS,250*160,GB15930-2007,5,个,155,775,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
144,"FDS
70°防火阀",FDS,400*160,GB15930-2007,2,个,182,364,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
145,"FDS
70°防火阀",FDS,320*160,GB15930-2007,2,个,168,336,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
146,"FDS
70°防火阀",FDS,800*400,GB15930-2007,4,个,318,1272,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
147,"FDS
70°防火阀",FDS,800*320,GB15930-2007,2,个,296,592,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
148,"FDS
70°防火阀",FDS,160*200,GB15930-2007,1,个,146,146,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
149,"FDS
70°防火阀",FDS,1600*800,GB15930-2007,1,个,703,703,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
150,"FDS
70°防火阀",FDS,400*250,GB15930-2007,1,个,201,201,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
151,"FDS
70°防火阀",FDS,320*1800,GB15930-2007,1,个,747,747,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
152,"FDS
70°防火阀",FDS,630*320,GB15930-2007,3,个,262,786,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
153,"FDS
70°防火阀",FDS,500*200,GB15930-2007,3,个,209,627,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
154,"FDS
70°防火阀",FDS,500*250,GB15930-2007,4,个,220,880,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
155,"FDS
70°防火阀",FDS,750*320,GB15930-2007,1,个,286,286,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
156,"FDS
70°防火阀",FDS,200*160,GB15930-2007,1,个,146,146,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
157,"FDS
70°防火阀",FDS,320*200,GB15930-2007,5,个,176,880,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
158,"FDS
70°防火阀",FDS,2500*500,GB15930-2007,1,个,896,896,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
159,"FDS
70°防火阀",FDS,1000*630,GB15930-2007,1,个,430,430,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
160,"FDS
70°防火阀",FDS,1600*630,GB15930-2007,1,个,636,636,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
161,"FDS
70°防火阀",FDS,1250*800,GB15930-2007,1,个,551,551,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
162,"FDS
70°防火阀",FDS,400*200,GB15930-2007,71,个,190,13490,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
163,"FDS
70°防火阀",FDS,630*250,GB15930-2007,1,个,245,245,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
164,"FDS
70°防火阀",FDS,500*400,GB15930-2007,2,个,254,508,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
165,"FDS
70°防火阀",FDS,500*160,GB15930-2007,2,个,199,398,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
166,"MED
电动防火阀",MED,1250*250,GB15930-2007,1,个,518,518,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
167,"MED
电动防火阀",MED,1250*500,GB15930-2007,1,个,604,604,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
168,"MEE
电动防火阀",MEE,800*500,GB15930-2007,5,个,535,2675,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
169,"MEE
电动防火阀",MEE,1600*500,GB15930-2007,2,个,965,1930,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
170,"MEE
电动防火阀",MEE,800*400,GB15930-2007,2,个,508,1016,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
171,"MEE
电动防火阀",MEE,1600*630,GB15930-2007,2,个,1016,2032,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
172,"MEE
电动防火阀",MEE,1600*1000,GB15930-2007,2,个,1162,2324,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
173,"MEE
电动防火阀",MEE,500*250,GB15930-2007,2,个,410,820,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
174,"MEEC
电动防火阀",MEEC,1250*630,GB15930-2007,2,个,682,1364,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
175,"MEEC
电动防火阀",MEEC,800*400,GB15930-2007,2,个,508,1016,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
176,"MEEC
电动防火阀",MEEC,1600*630,GB15930-2007,2,个,1016,2032,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
177,"MEEC
电动防火阀",MEEC,1000*630,GB15930-2007,4,个,620,2480,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
178,"MD
电动风量调节阀",MD,1600*800,JG/T436-2014,5,个,797,3985,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
179,"MD
电动风量调节阀",MD,1250*800,JG/T436-2014,2,个,555,1110,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
180,"MD
电动风量调节阀",MD,500*250,JG/T436-2014,7,个,289,2023,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
181,"MD
电动风量调节阀",MD,320*160,JG/T436-2014,4,个,247,988,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
182,"MD
电动风量调节阀",MD,800*250,JG/T436-2014,2,个,335,670,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
183,"MD
电动风量调节阀",MD,1500*500,JG/T436-2014,2,个,518,1036,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
184,"MD
电动风量调节阀",MD,2500*500,JG/T436-2014,1,个,867,867,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
185,"MD
电动风量调节阀",MD,630*320,JG/T436-2014,1,个,323,323,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
186,"MD
电动风量调节阀",MD,1250*1000,JG/T436-2014,1,个,775,775,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
187,"MD
电动风量调节阀",MD,800*320,JG/T436-2014,9,个,350,3150,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
188,"MD
电动风量调节阀",MD,800*500,JG/T436-2014,4,个,390,1560,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
189,"MD
电动风量调节阀",MD,3500*5000,JG/T436-2014,1,个,6163,6163,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
190,"MD
电动风量调节阀",MD,800*400,JG/T436-2014,30,个,368,11040,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
191,"MD
电动风量调节阀",MD,200*160,JG/T436-2014,2,个,230,460,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
192,"MD
电动风量调节阀",MD,1250*400,JG/T436-2014,1,个,445,445,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
193,"MD
电动风量调节阀",MD,1000*320,JG/T436-2014,3,个,382,1146,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
194,"MD
电动风量调节阀",MD,1600*750,JG/T436-2014,1,个,781,781,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
195,"MD
电动风量调节阀",MD,320*200,JG/T436-2014,2,个,253,506,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
196,"MD
电动风量调节阀",MD,630*250,JG/T436-2014,3,个,309,927,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
197,"MD
电动风量调节阀",MD,250*200,JG/T436-2014,4,个,243,972,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
198,"MD
电动风量调节阀",MD,400*200,JG/T436-2014,3,个,265,795,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
199,"MD
电动风量调节阀",MD,1800*500,JG/T436-2014,2,个,574,1148,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
200,"MD
电动风量调节阀",MD,850*250,JG/T436-2014,1,个,342,342,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
201,"MD
电动风量调节阀",MD,1600*600,JG/T436-2014,1,个,569,569,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
202,"MD
电动风量调节阀",MD,1000*500,JG/T436-2014,3,个,427,1281,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
203,"MD
电动风量调节阀",MD,1250*500,JG/T436-2014,4,个,472,1888,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
204,"MD
电动风量调节阀",MD,1500*630,JG/T436-2014,1,个,558,558,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
205,"MD
电动风量调节阀",MD,1700*500,JG/T436-2014,1,个,555,555,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
206,"MD
电动风量调节阀",MD,750*250,JG/T436-2014,1,个,327,327,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
207,"MD
电动风量调节阀",MD,1000*400,JG/T436-2014,2,个,402,804,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
208,"MD
电动风量调节阀",MD,400*250,JG/T436-2014,2,个,273,546,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
209,"MD
电动风量调节阀",MD,630*400,JG/T436-2014,18,个,339,6102,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
210,"MD
电动风量调节阀",MD,500*500,JG/T436-2014,1,个,335,335,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
211,"FVD
防火调节阀",FVD,3700*1600,GB15930-2007,1,个,3088,3088,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
212,"FVD
防火调节阀",FVD,400*250,GB15930-2007,2,个,201,402,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
213,"FVD
防火调节阀",FVD,800*320,GB15930-2007,3,个,296,888,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
214,"FVD
防火调节阀",FVD,400*200,GB15930-2007,3,个,190,570,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
215,"FVD
防火调节阀",FVD,320*200,GB15930-2007,1,个,176,176,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
216,"NRD
止回阀",NRD,400*200,JG/T436-2014,80,个,123,9840,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
217,"NRD
止回阀",NRD,500*250,JG/T436-2014,8,个,150,1200,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
218,"NRD
止回阀",NRD,800*400,JG/T436-2014,6,个,240,1440,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
219,"NRD
止回阀",NRD,400*160,JG/T436-2014,5,个,115,575,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
220,"NRD
止回阀",NRD,400*120,JG/T436-2014,5,个,107,535,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
221,"NRD
止回阀",NRD,500*200,JG/T436-2014,4,个,140,560,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
222,"NRD
止回阀",NRD,320*200,JG/T436-2014,4,个,109,436,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
223,"NRD
止回阀",NRD,630*320,JG/T436-2014,3,个,189,567,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
224,"NRD
止回阀",NRD,250*160,JG/T436-2014,3,个,91,273,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
225,"NRD
止回阀",NRD,630*250,JG/T436-2014,3,个,173,519,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
226,"NRD
止回阀",NRD,320*160,JG/T436-2014,3,个,102,306,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
227,"NRD
止回阀",NRD,800*320,JG/T436-2014,12,个,220,2640,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
228,"NRD
止回阀",NRD,1250*160,JG/T436-2014,2,个,253,506,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
229,"NRD
止回阀",NRD,1600*500,JG/T436-2014,2,个,434,868,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
230,"NRD
止回阀",NRD,630*400,JG/T436-2014,2,个,207,414,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
231,"NRD
止回阀",NRD,200*160,JG/T436-2014,1,个,82,82,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
232,"NRD
止回阀",NRD,3000*2500,JG/T436-2014,1,个,1848,1848,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
233,"NRD
止回阀",NRD,1000*500,JG/T436-2014,1,个,308,308,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
234,"NRD
止回阀",NRD,1000*630,JG/T436-2014,1,个,344,344,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
235,"NRD
止回阀",NRD,1250*800,JG/T436-2014,5,个,455,2275,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
236,"NRD
止回阀",NRD,630*200,JG/T436-2014,1,个,161,161,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
237,"NRD
止回阀",NRD,1600*1000,JG/T436-2014,1,个,616,616,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
238,"NRD
止回阀",NRD,400*250,JG/T436-2014,1,个,133,133,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
239,"NRD
止回阀",NRD,320*1800,JG/T436-2014,1,个,405,405,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
240,"NRD
止回阀",NRD,300*1800,JG/T436-2014,1,个,397,397,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
241,"NRD
止回阀",NRD,500*400,JG/T436-2014,2,个,182,364,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
