序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备        注
0,链条,6mm,0,0,0,0,1,0.13,300,300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,1,0.13,120,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
39,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,/,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
40,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
41,B3生活水泵房集水井排水泵,65WQ11085,40,30,2900,5.5,3,0.13,3500,10500,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,3,0.13,500,1500,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,3,0.13,330,990,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,3,0.13,105,315,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,3,0.13,70,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
42,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
43,B3地库冲洗集水井排水泵,65WQ11091A,25,25,2890,4,2,0.13,2330,4660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,330,660,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
44,B3消防电梯集水井排水泵,65WQ11085,40,30,2900,5.5,2,0.13,3500,7000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK65,0,0,0,0,2,0.13,500,1000,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,760,1520,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,240,480,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,120,240,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
45,人防区移动电站集水井,50WQ11063,12,22,2840,2.2,1,0.13,1600,1600,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,1,0.13,400,400,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,1,0.13,330,330,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,1,0.13,105,105,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,1,0.13,70,70,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
1,潜水排污泵,50WQ/E30-14-2.2,18,15,2840,2.2,14,0.13,1650,23100,0,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
0,自耦装置,DN:50,0,0,0,0,14,0.13,300,4200,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,14,0.13,350,4900,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,14,0.13,135,1890,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACE-2.2,0,0,0,0,7,0.13,1100,7700,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
0,浮球,GY-A1,0,0,0,0,21,0.13,115,2415,0,控制线每增加一米，价格加15元。
2,潜水排污泵,50WQ/E15-25-2.2,18,20,2880,2.2,34,0.13,1650,56100,0,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
0,自耦装置,DN:50,0,0,0,0,34,0.13,300,10200,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,34,0.13,350,11900,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,34,0.13,135,4590,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACE-2.2,0,0,0,0,17,0.13,1100,18700,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
0,浮球,GY-A1,0,0,0,0,51,0.13,115,5865,0,控制线每增加一米，价格加15元。
3,潜水排污泵,50WQ/E15-30-3,18,25,2880,3,50,0.13,2070,103500,0,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
0,自耦装置,DN:50,0,0,0,0,50,0.13,300,15000,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,50,0.13,350,17500,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,50,0.13,135,6750,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACE-3,0,0,0,0,25,0.13,1100,27500,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
0,浮球,GY-A1,0,0,0,0,75,0.13,115,8625,0,控制线每增加一米，价格加15元。
4,潜水排污泵,50WQ/E15-30-3,18,28,2880,3,4,0.13,2070,8280,0,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
0,自耦装置,DN:50,0,0,0,0,4,0.13,300,1200,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,4,0.13,350,1400,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,4,0.13,135,540,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACE-3,0,0,0,0,2,0.13,1100,2200,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
0,浮球,GY-A1,0,0,0,0,6,0.13,115,690,0,控制线每增加一米，价格加15元。
5,潜水排污泵,50WQ/E15-30-3,18,28,2880,3,2,0.13,2070,4140,0,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
0,自耦装置,DN:50,0,0,0,0,2,0.13,300,600,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,2,0.13,350,700,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,2,0.13,135,270,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACE-3,0,0,0,0,1,0.13,1100,1100,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
0,浮球,GY-A1,0,0,0,0,3,0.13,115,345,0,控制线每增加一米，价格加15元。
6,潜水排污泵,65WQ/E30-18.5-3,36,15,2880,3,5,0.13,2000,10000,0,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
0,自耦装置,DN:65,0,0,0,0,5,0.13,420,2100,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,5,0.13,350,1750,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,5,0.13,135,675,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACE-3,0,0,0,0,1,0.13,1100,1100,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
0,控制柜,KQK/T-3ACE-3,0,0,0,0,1,0.13,1650,1650,0,一控三；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过5浮球控制（低水位：停泵，1水位启1台泵，2水位启2台泵，3水位启三台泵，超高水位发出报警信号），元器件：天正；3个断路器；
0,浮球,GY-A1,0,0,0,0,8,0.13,115,920,0,控制线每增加一米，价格加15元。
7,潜水排污泵,65WQ/EC40-22-4,36,23,2890,4,12,0.13,2500,30000,0,2025.12.15，电缆线5米；增加一米价格加30元；泵体材质：HT200；泵轴材质：2CR13；电机带过热保护及油室漏水电机漏水保护
0,自耦装置,DN:65,0,0,0,0,12,0.13,420,5040,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,12,0.13,350,4200,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,12,0.13,135,1620,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACB-4,0,0,0,0,6,0.13,1650,9900,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），带油室进水、电机腔进水、绕组过热等保护功能，元器件：天正；2个断路器；
0,浮球,GY-A1,0,0,0,0,18,0.13,115,2070,0,控制线每增加一米，价格加15元。
8,潜水排污泵,65WQ/EC40-30-5.5,36,25,2920,5.5,10,0.13,3500,35000,0,2025.12.15，电缆线5米；增加一米价格加30元；泵体材质：HT200；泵轴材质：2CR13；电机带过热保护及油室漏水电机漏水保护
0,自耦装置,DN:65,0,0,0,0,10,0.13,420,4200,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,10,0.13,350,3500,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,10,0.13,135,1350,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACB-5.5,0,0,0,0,2,0.13,1650,3300,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），带油室进水、电机腔进水、绕组过热等保护功能，元器件：天正；2个断路器；
0,控制柜,KQK/T-3ACB-5.5,0,0,0,0,2,0.13,3000,6000,0,一控三；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过5浮球控制（低水位：停泵，1水位启1台泵，2水位启2台泵，3水位启三台泵，超高水位发出报警信号），带油室进水、电机腔进水、绕组过热等保护功能，元器件：天正；3个断路器；
0,浮球,GY-A1,0,0,0,0,16,0.13,115,1840,0,控制线每增加一米，价格加15元。
9,潜水排污泵,65WQ/EC40-30-5.5,36,28,2920,5.5,14,0.13,3500,49000,0,2025.12.15，电缆线5米；增加一米价格加30元；泵体材质：HT200；泵轴材质：2CR13；电机具有：过热保护及油室漏水电机漏水保护
0,自耦装置,DN:65,0,0,0,0,14,0.13,420,5880,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,14,0.13,350,4900,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,14,0.13,135,1890,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACB-5.5,0,0,0,0,7,0.13,1650,11550,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），带油室进水、电机腔进水、绕组过热等保护功能，元器件：天正；2个断路器；
0,浮球,GY-A1,0,0,0,0,21,0.13,115,2415,0,控制线每增加一米，价格加15元。
10,潜水排污泵,50WQ/E20-10.5-1.1,18,10,2825,1.1,2,0.13,1260,2520,0,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
0,自耦装置,DN:50,0,0,0,0,2,0.13,300,600,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,2,0.13,350,700,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,2,0.13,135,270,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACE-1.1,0,0,0,0,1,0.13,1100,1100,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
0,浮球,GY-A1,0,0,0,0,3,0.13,115,345,0,控制线每增加一米，价格加15元。
11,潜水排污泵,50WQ/E10-24-1.5,8,23,2840,1.5,2,0.13,1350,2700,0,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
0,自耦装置,DN:50,0,0,0,0,2,0.13,300,600,0,自耦装置材质：HT200；
0,304不锈钢导杆,32*1.2,0,0,0,0,2,0.13,350,700,0,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
0,304不锈钢链条,6mm,0,0,0,0,2,0.13,135,270,0,304不锈钢链条长度2.0米；长度每增加一米价格加115元
0,控制柜,KQK/T-2ACE-1.5,0,0,0,0,1,0.13,1100,1100,0,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
0,浮球,GY-A1,0,0,0,0,3,0.13,115,345,0,控制线每增加一米，价格加15元。
1,潜水排污泵,100WQ65-20-7.5,65,20,0,7.5,3,0.13,3200,9600,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,自耦,GAK-100,0,0,0,0,3,0.13,500,1500,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢导杆,单根长度2米(2根一套),0,0,0,0,3,0.13,650,1950,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢链条,长度3米,0,0,0,0,3,0.13,150,450,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,控制柜,SBKP-3ACL-7.5,0,0,0,0,1,0.13,3700,3700,申宝,"一控三；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
2,潜水排污泵,80WQ50-25-7.5,50,25,0,7.5,2,0.13,2900,5800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,自耦,GAK-80,0,0,0,0,2,0.13,400,800,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢导杆,单根长度2米(2根一套),0,0,0,0,2,0.13,650,1300,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢链条,长度3米,0,0,0,0,2,0.13,150,300,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,控制柜,SBKP-2ACL-7.5,0,0,0,0,1,0.13,3700,3700,申宝,"一控二，自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；三个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
3,潜水排污泵,80WQ50-25-7.5,50,25,0,7.5,2,0.13,2900,5800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,自耦,GAK-80,0,0,0,0,2,0.13,400,800,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢导杆,单根长度2米(2根一套),0,0,0,0,2,0.13,650,1300,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢链条,长度3米,0,0,0,0,2,0.13,150,300,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,控制柜,SBKP-2ACL-7.5,0,0,0,0,1,0.13,2500,2500,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
4,潜水排污泵,65WQ25-18-3,25,18,0,3,4,0.13,1550,6200,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,自耦,GAK-65,0,0,0,0,4,0.13,250,1000,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢导杆,单根长度2米(2根一套),0,0,0,0,4,0.13,450,1800,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢链条,长度3米,0,0,0,0,4,0.13,150,600,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,控制柜,SBKP-2ACL-3,0,0,0,0,2,0.13,1250,2500,申宝,"自动交替带BA接口：只监不控(运行、
停止、故障)/带高液位报警，不含浮球，
断路器：施耐德，接触器，继电器：正
泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
5,潜水排污泵,50WQ15-18-2.2,15,18,0,2.2,4,0.13,1200,4800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,自耦,GAK-50,0,0,0,0,4,0.13,200,800,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢导杆,单根长度2米(2根一套),0,0,0,0,4,0.13,450,1800,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢链条,长度3米,0,0,0,0,4,0.13,150,600,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,控制柜,SBKP-2ACL-2.2,0,0,0,0,2,0.13,1250,2500,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
6,潜水排污泵,50WQ10-18-2.2,10,18,0,2.2,2,0.13,1200,2400,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,自耦,GAK-50,0,0,0,0,2,0.13,200,400,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢导杆,单根长度2米(2根一套),0,0,0,0,2,0.13,450,900,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢链条,长度3米,0,0,0,0,2,0.13,150,300,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,控制柜,SBKP-2ACL-2.2,0,0,0,0,工,0.13,1250,1250,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
7,潜水排污泵,100WQ65-20-7.5,65,20,0,7.5,3,0.13,3200,9600,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,自耦,GAK-100,0,0,0,0,3,0.13,500,1500,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢导杆,单根长度2米(2根一套),0,0,0,0,3,0.13,650,1950,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢链条,长度3米,0,0,0,0,3,0.13,150,450,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,控制柜,SBKP-2ACL-7.5,0,0,0,0,1,0.13,2500,2500,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
8,潜水排污泵,65WQ40-20-4,40,20,0,4,2,0.13,1850,3700,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,自耦,GAK-65,0,0,0,0,2,0.13,250,500,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢导杆,单根长度2米(2根一套),0,0,0,0,2,0.13,450,900,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢链条,长度3米,0,0,0,0,2,0.13,150,300,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,控制柜,SBKP-2ACL-4,0,0,0,0,1,0.13,1250,1250,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
9,潜水排污泵,50WQ30-20-3,30,20,0,3,6,0.13,1300,7800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,自耦,GAK-50,0,0,0,0,6,0.13,200,1200,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢导杆,单根长度2米(2根一套),0,0,0,0,6,0.13,450,2700,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,不锈钢链条,长度3米,0,0,0,0,6,0.13,150,900,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
0,控制柜,SBKP-2ACL-3,0,0,0,0,3,0.13,1250,3750,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
